ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000047989	Ino80c	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000015971	Actr8	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000042185	Nfrkb	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000030079	Ruvbl1	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000037570	Mcrs1	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000006335	Tfpt	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000021264	Yy1	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000026434	Nucks1	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000027671	Actl6a	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000018189	Uchl5	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000030034	Ino80b	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000040865	Ino80d	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000030689	Ino80e	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000034154	Ino80	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000003868	Ruvbl2	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
ENSMUSG00000037761	Actr5	GO:0060382	regulation of DNA strand elongation	regulation_of_DNA_strand_elongation
